Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 20:27:24:253,245,0,1,2,56356,92561,63204,-64,-236,971
05.10.2024 20:27:24:257,246,0,1,2,56364,92561,63208,-69,-231,969
05.10.2024 20:27:24:260,247,0,1,2,56363,92557,63209,-66,-228,966
05.10.2024 20:27:24:264,248,0,1,2,56361,92562,63210,-66,-234,969
05.10.2024 20:27:24:268,249,0,1,2,56367,92560,63213,-66,-232,971
05.10.2024 20:27:24:272,250,0,1,2,56369,92566,63211,-64,-230,968
05.10.2024 20:27:24:276,251,0,1,2,56373,92568,63217,-67,-229,966
05.10.2024 20:27:24:280,252,0,1,2,56379,92568,63219,-69,-228,972
05.10.2024 20:27:24:284,253,0,1,2,56372,92570,63220,-66,-223,965
05.10.2024 20:27:24:288,254,0,1,2,56384,92572,63219,-72,-223,967
05.10.2024 20:27:24:292,255,0,1,2,56375,92570,63215,-68,-233,969
05.10.2024 20:27:24:296,256,0,1,2,56385,92571,63218,-72,-230,970
05.10.2024 20:27:24:299,257,0,1,2,56388,92570,63219,-74,-225,968
05.10.2024 20:27:24:303,258,0,1,2,56386,92574,63216,-71,-226,970
05.10.2024 20:27:24:307,259,0,1,2,56392,92569,63212,-65,-236,968
05.10.2024 20:27:24:311,260,0,1,2,56383,92573,63215,-64,-231,971
05.10.2024 20:27:24:315,261,0,1,2,56393,92564,63218,-69,-230,968
05.10.2024 20:27:24:319,262,0,1,2,56398,92570,63211,-70,-230,967
05.10.2024 20:27:24:323,263,0,1,2,56398,92571,63211,-66,-226,965
05.10.2024 20:27:24:327,264,0,1,2,56392,92569,63212,-66,-228,969
05.10.2024 20:27:24:331,265,0,1,2,56399,92568,63213,-67,-224,967
05.10.2024 20:27:24:335,266,0,1,2,56398,92567,63211,-64,-220,968
05.10.2024 20:27:24:338,267,0,1,2,56402,92564,63209,-63,-225,971
05.10.2024 20:27:24:342,268,0,1,2,56402,92561,63202,-66,-228,969
05.10.2024 20:27:24:346,269,0,1,2,56402,92553,63201,-72,-227,970
05.10.2024 20:27:24:350,270,0,1,2,56411,92551,63196,-74,-228,969
05.10.2024 20:27:24:354,271,0,1,2,56403,92550,63195,-62,-230,972
05.10.2024 20:27:24:358,272,0,1,2,56414,92546,63189,-70,-234,968
05.10.2024 20:27:24:362,273,0,1,2,56418,92539,63188,-65,-232,972
05.10.2024 20:27:24:366,274,0,1,2,56410,92536,63181,-76,-226,969
05.10.2024 20:27:24:370,275,0,1,2,56417,92532,63182,-66,-229,969
05.10.2024 20:27:24:374,276,0,1,2,56416,92528,63180,-78,-232,967
05.10.2024 20:27:24:378,277,0,1,2,56417,92531,63176,-68,-235,973
05.10.2024 20:27:24:381,278,0,1,2,56415,92523,63176,-66,-231,966
05.10.2024 20:27:24:385,279,0,1,2,56419,92513,63171,-68,-236,966
05.10.2024 20:27:24:389,280,0,1,2,56411,92518,63171,-69,-238,973
05.10.2024 20:27:24:393,281,0,1,2,56415,92514,63168,-72,-237,968
05.10.2024 20:27:24:397,282,0,1,2,56406,92513,63165,-66,-242,967
05.10.2024 20:27:24:401,283,0,1,2,56404,92509,63164,-73,-240,964
05.10.2024 20:27:24:405,284,0,1,2,56395,92503,63163,-70,-235,968
05.10.2024 20:27:24:409,285,0,1,2,56388,92505,63166,-68,-238,969
05.10.2024 20:27:24:413,286,0,1,2,56382,92513,63164,-64,-241,971
05.10.2024 20:27:24:417,287,0,1,2,56367,92504,63166,-70,-231,966
05.10.2024 20:27:24:420,288,0,1,2,56358,92505,63172,-67,-228,970
05.10.2024 20:27:24:424,289,0,1,2,56351,92509,63172,-68,-227,966
05.10.2024 20:27:24:428,290,0,1,2,56347,92510,63172,-69,-228,971
05.10.2024 20:27:24:432,291,0,1,2,56340,92512,63178,-71,-227,967
