Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],Temperature[C]
12.10.2024 12:07:53:249,32.225
12.10.2024 12:07:53:347,32.23
12.10.2024 12:07:53:444,32.225
12.10.2024 12:07:53:541,32.225
12.10.2024 12:07:53:639,32.225
12.10.2024 12:07:53:736,32.215
12.10.2024 12:07:53:833,32.21
12.10.2024 12:07:53:931,32.225
12.10.2024 12:07:54:28,32.205
12.10.2024 12:07:54:125,32.24
12.10.2024 12:07:54:223,32.225
12.10.2024 12:07:54:320,32.22
12.10.2024 12:07:54:417,32.22
stop time,12.10.2024 12:07:59:249
