Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
13.10.2024 12:44:26:854,212,0,1,2,28680,58880,5066,14,18,994
13.10.2024 12:44:26:857,213,0,1,2,28665,58874,5067,15,19,1002
13.10.2024 12:44:26:861,214,0,1,2,28677,58893,5067,20,19,989
13.10.2024 12:44:26:864,215,0,1,2,28677,58869,5066,19,20,1004
13.10.2024 12:44:26:867,216,0,1,2,28676,58889,5067,15,20,993
13.10.2024 12:44:26:870,217,0,1,2,28678,58876,5066,18,25,1003
13.10.2024 12:44:26:874,218,0,1,2,28676,58883,5067,17,24,996
13.10.2024 12:44:26:877,219,0,1,2,28678,58885,5067,14,27,995
13.10.2024 12:44:26:880,220,0,1,2,28678,58878,5068,18,24,1000
13.10.2024 12:44:26:883,221,0,1,2,28681,58888,5068,18,24,1000
13.10.2024 12:44:26:887,222,0,1,2,28681,58882,5069,19,20,993
13.10.2024 12:44:26:890,223,0,1,2,28678,58889,5070,21,25,991
13.10.2024 12:44:26:893,224,0,1,2,28680,58885,5067,15,26,993
13.10.2024 12:44:26:896,225,0,1,2,28684,58881,5067,15,29,936
13.10.2024 12:44:26:900,226,0,1,2,28677,58886,5068,20,30,994
13.10.2024 12:44:26:903,227,0,1,2,28675,58866,5067,17,30,1003
13.10.2024 12:44:26:906,228,0,1,2,28669,58868,5065,14,24,1008
13.10.2024 12:44:26:909,229,0,1,2,28679,58879,5067,21,22,994
13.10.2024 12:44:26:913,230,0,1,2,28673,58875,5065,18,25,994
13.10.2024 12:44:26:916,231,0,1,2,28678,58880,5066,16,24,996
13.10.2024 12:44:26:919,232,0,1,2,28678,58880,5066,15,24,995
13.10.2024 12:44:26:922,233,0,1,2,28680,58880,5068,13,23,993
13.10.2024 12:44:26:926,234,0,1,2,28683,58899,5070,16,20,983
13.10.2024 12:44:26:929,235,0,1,2,28679,58870,5067,20,26,1009
13.10.2024 12:44:26:932,236,0,1,2,28679,58887,5068,20,26,1009
13.10.2024 12:44:26:935,237,0,1,2,28672,58855,5062,17,20,1005
13.10.2024 12:44:26:939,238,0,1,2,28660,58854,5067,19,22,998
13.10.2024 12:44:26:942,239,0,1,2,28677,58887,5068,16,24,983
13.10.2024 12:44:26:945,240,0,1,2,28683,58890,5067,16,20,983
13.10.2024 12:44:26:948,241,0,1,2,28686,58896,5067,15,19,982
13.10.2024 12:44:26:952,242,0,1,2,28680,58877,5066,16,19,999
13.10.2024 12:44:26:955,243,0,1,2,28677,58872,5067,15,17,1001
13.10.2024 12:44:26:958,244,0,1,2,28675,58861,5065,19,18,1001
13.10.2024 12:44:26:961,245,0,1,2,28672,58867,5066,16,14,996
13.10.2024 12:44:26:965,246,0,1,2,28671,58873,5066,15,21,1003
13.10.2024 12:44:26:968,247,0,1,2,28673,58885,5066,19,18,992
13.10.2024 12:44:26:971,248,0,1,2,28677,58888,5068,19,17,989
13.10.2024 12:44:26:974,249,0,1,2,28682,58884,5067,16,21,990
13.10.2024 12:44:26:977,250,0,1,2,28683,58879,5067,16,15,995
13.10.2024 12:44:26:981,251,0,1,2,28673,58879,5066,16,15,995
13.10.2024 12:44:26:984,252,0,1,2,28670,58871,5066,21,21,999
13.10.2024 12:44:26:987,253,0,1,2,28670,58876,5069,18,19,999
13.10.2024 12:44:26:990,254,0,1,2,28677,58879,5066,16,24,995
13.10.2024 12:44:26:994,255,0,1,2,28684,58878,5067,17,22,990
13.10.2024 12:44:26:997,256,0,1,2,28678,58881,5066,19,22,994
13.10.2024 12:44:27:0,257,0,1,2,28676,58880,5067,16,21,994
13.10.2024 12:44:27:3,258,0,1,2,28673,58875,5065,20,26,998
13.10.2024 12:44:27:7,259,0,1,2,28673,58873,5067,21,26,1003
13.10.2024 12:44:27:10,260,0,1,2,28671,58864,5064,17,22,1002
13.10.2024 12:44:27:13,261,0,1,2,28672,58861,5067,19,29,1002
13.10.2024 12:44:27:16,262,0,1,2,28669,58867,5066,15,24,996
13.10.2024 12:44:27:20,263,0,1,2,28676,58870,5067,15,26,1002
13.10.2024 12:44:27:23,264,0,1,2,28677,58884,5068,21,29,988
13.10.2024 12:44:27:26,265,0,1,2,28684,58884,5066,20,27,995
13.10.2024 12:44:27:29,266,0,1,2,28677,58879,5068,20,27,995
13.10.2024 12:44:27:33,267,0,1,2,28679,58874,5068,17,27,990
13.10.2024 12:44:27:36,268,0,1,2,28675,58870,5067,19,28,1001
13.10.2024 12:44:27:39,269,0,1,2,28672,58874,5067,17,27,999
13.10.2024 12:44:27:42,270,0,1,2,28672,58870,5067,17,31,1000
13.10.2024 12:44:27:46,271,0,1,2,28672,58873,5068,18,28,992
13.10.2024 12:44:27:49,272,0,1,2,28676,58871,5068,16,24,995
13.10.2024 12:44:27:52,273,0,1,2,28670,58867,5067,15,30,1003
13.10.2024 12:44:27:55,274,0,1,2,28676,58867,5067,12,29,1003
13.10.2024 12:44:27:59,275,0,1,2,28668,58862,5065,12,28,1002
13.10.2024 12:44:27:62,276,0,1,2,28669,58866,5066,15,25,1002
13.10.2024 12:44:27:65,277,0,1,2,28672,58866,5066,17,23,999
13.10.2024 12:44:27:68,278,0,1,2,28673,58871,5066,19,19,995
13.10.2024 12:44:27:72,279,0,1,2,28676,58876,5067,16,18,989
13.10.2024 12:44:27:75,280,0,1,2,28674,58888,5069,17,22,977
13.10.2024 12:44:27:78,281,0,1,2,28683,58888,5066,17,22,977
13.10.2024 12:44:27:81,282,0,1,2,28668,58870,5068,15,19,1001
13.10.2024 12:44:27:85,283,0,1,2,28673,58866,5063,16,14,1014
13.10.2024 12:44:27:88,284,0,1,2,28659,58842,5065,16,18,1010
13.10.2024 12:44:27:91,285,0,1,2,28662,58874,5065,16,15,998
13.10.2024 12:44:27:94,286,0,1,2,28675,58879,5068,18,17,988
13.10.2024 12:44:27:98,287,0,1,2,28676,58886,5069,17,19,985
13.10.2024 12:44:27:101,288,0,1,2,28679,58879,5067,16,17,992
13.10.2024 12:44:27:104,289,0,1,2,28676,58870,5066,16,17,992
13.10.2024 12:44:27:107,290,0,1,2,28668,58865,5068,20,21,1002
13.10.2024 12:44:27:110,291,0,1,2,28662,58859,5066,19,21,1003
13.10.2024 12:44:27:114,292,0,1,2,28663,58861,5068,19,16,1006
13.10.2024 12:44:27:117,293,0,1,2,28669,58869,5067,20,21,997
13.10.2024 12:44:27:120,294,0,1,2,28679,58871,5067,17,26,991
13.10.2024 12:44:27:123,295,0,1,2,28676,58878,5067,17,23,991
13.10.2024 12:44:27:127,296,0,1,2,28676,58872,5068,18,25,992
13.10.2024 12:44:27:130,297,0,1,2,28669,58871,5065,21,20,996
