Timestamp[Day.Month.Year Hour:Minute:Second:Milisecond],sampleNum,tagLEDC1_PD1,tagLEDC2_PD1,tagLEDC3_PD1,LED1_PPG1,LED2_PPG1,LED3_PPG1,ACC_X[mg],ACC_Y[mg],ACC_Z[mg]
05.10.2024 13:24:44:926,231,2,0,1,122055,87925,130333,14,-677,734
05.10.2024 13:24:44:930,232,2,0,1,122053,87925,130338,12,-678,738
05.10.2024 13:24:44:934,233,2,0,1,122055,87923,130337,12,-678,735
05.10.2024 13:24:44:938,234,2,0,1,122055,87934,130338,6,-681,739
05.10.2024 13:24:44:942,235,2,0,1,122056,87929,130342,10,-683,743
05.10.2024 13:24:44:946,236,2,0,1,122053,87937,130337,13,-685,738
05.10.2024 13:24:44:950,237,2,0,1,122054,87933,130335,10,-683,736
05.10.2024 13:24:44:954,238,2,0,1,122055,87943,130338,11,-683,738
05.10.2024 13:24:44:958,239,2,0,1,122051,87934,130338,10,-683,738
05.10.2024 13:24:44:961,240,2,0,1,122057,87951,130339,11,-682,737
05.10.2024 13:24:44:965,241,2,0,1,122052,87942,130332,16,-683,733
05.10.2024 13:24:44:969,242,2,0,1,122052,87944,130340,8,-680,731
05.10.2024 13:24:44:973,243,2,0,1,122055,87952,130338,10,-681,737
05.10.2024 13:24:44:977,244,2,0,1,122052,87951,130334,3,-682,739
05.10.2024 13:24:44:981,245,2,0,1,122055,87960,130338,7,-676,739
05.10.2024 13:24:44:985,246,2,0,1,122048,87963,130341,9,-625,737
05.10.2024 13:24:44:989,247,2,0,1,122053,87967,130335,9,-678,735
05.10.2024 13:24:44:993,248,2,0,1,122051,87967,130339,9,-679,738
05.10.2024 13:24:44:997,249,2,0,1,122049,87972,130337,11,-678,737
05.10.2024 13:24:45:0,250,2,0,1,122055,87979,130334,10,-676,738
05.10.2024 13:24:45:4,251,2,0,1,122047,87988,130344,6,-681,737
05.10.2024 13:24:45:8,252,2,0,1,122047,87983,130337,8,-680,739
05.10.2024 13:24:45:12,253,2,0,1,122054,87985,130342,7,-684,737
05.10.2024 13:24:45:16,254,2,0,1,122044,87999,130339,8,-686,737
05.10.2024 13:24:45:20,255,2,0,1,122049,87987,130336,10,-682,741
05.10.2024 13:24:45:24,256,2,0,1,122049,87995,130335,5,-679,739
05.10.2024 13:24:45:28,257,2,0,1,122044,87996,130338,11,-677,735
05.10.2024 13:24:45:32,258,2,0,1,122048,88002,130343,9,-675,739
05.10.2024 13:24:45:36,259,2,0,1,122045,88006,130339,8,-681,733
05.10.2024 13:24:45:39,260,2,0,1,122048,88012,130338,4,-685,739
05.10.2024 13:24:45:43,261,2,0,1,122047,88009,130345,9,-676,735
05.10.2024 13:24:45:47,262,2,0,1,122046,88020,130345,7,-683,739
05.10.2024 13:24:45:51,263,2,0,1,122047,88032,130347,9,-683,740
05.10.2024 13:24:45:55,264,2,0,1,122044,88025,130340,8,-680,738
05.10.2024 13:24:45:59,265,2,0,1,122047,88035,130347,10,-677,743
05.10.2024 13:24:45:63,266,2,0,1,122044,88037,130346,9,-679,740
05.10.2024 13:24:45:67,267,2,0,1,122046,88042,130341,14,-678,738
05.10.2024 13:24:45:71,268,2,0,1,122045,88039,130339,10,-681,742
05.10.2024 13:24:45:75,269,2,0,1,122039,88050,130344,12,-681,740
05.10.2024 13:24:45:78,270,2,0,1,122046,88055,130338,9,-676,741
05.10.2024 13:24:45:82,271,2,0,1,122043,88051,130338,8,-678,737
05.10.2024 13:24:45:86,272,2,0,1,122040,88061,130341,11,-686,738
05.10.2024 13:24:45:90,273,2,0,1,122042,88064,130340,11,-676,733
05.10.2024 13:24:45:94,274,2,0,1,122039,88065,130341,11,-677,740
05.10.2024 13:24:45:98,275,2,0,1,122037,88057,130341,10,-673,734
05.10.2024 13:24:45:102,276,2,0,1,122037,88074,130341,8,-673,732
05.10.2024 13:24:45:106,277,2,0,1,122039,88069,130340,8,-679,738
05.10.2024 13:24:45:110,278,2,0,1,122042,88086,130344,9,-681,736
05.10.2024 13:24:45:114,279,2,0,1,122040,88078,130341,6,-682,734
05.10.2024 13:24:45:117,280,2,0,1,122038,88094,130343,6,-683,734
05.10.2024 13:24:45:121,281,2,0,1,122045,88090,130338,8,-682,736
05.10.2024 13:24:45:125,282,2,0,1,122040,88089,130337,8,-682,735
05.10.2024 13:24:45:129,283,2,0,1,122040,88106,130344,11,-678,736
05.10.2024 13:24:45:133,284,2,0,1,122038,88104,130338,7,-678,736
05.10.2024 13:24:45:137,285,2,0,1,122036,88111,130347,11,-678,739
05.10.2024 13:24:45:141,286,2,0,1,122042,88101,130350,7,-685,741
05.10.2024 13:24:45:145,287,2,0,1,122041,88111,130344,7,-684,741
05.10.2024 13:24:45:149,288,2,0,1,122045,88116,130348,9,-684,739
